review,score,label,score/counter,tanggal,sentiment
tempat renovasi jauh lebih besar lebih baik belum layan tidak bagus pesan minum tidak datang es kakak perempuan es cendol kali kali tanya layan pesan tidak kunjung datang putri datang jus kedelai bayar kasir sebut pesan tidak datang wajah sangat polos lanjut bayar tidak alas kata maaf tanya layan jam operasional restoran kata tidak tahu mes batagor rasa rasa buruk tidak bagus belum mes cireng lumpia rasa tidak istimewa,-2,negatif,-0.028985507246376812,2017-07-01,2
batagor kingsley tempat bagus makan enak murah enak enak masa lalu tempat bahkan belum renovasi sekarang tempat sebut bangun lihat asa modern bersih cita rasa batagor sendiri buruk turut selera,6,positif,0.2,2015-12-01,1
unjung makan malam beberapa kali belum renovasi semua baik baik makin besar tidak siap lebih banyak langgan layan terlalu lama staf kasar,-1,negatif,-0.045454545454545456,2015-11-01,2
batagor kingsley selalu jadi tempat wajib kunjung buru kuliner bandung urut antri cukup bingung lebih baik manajemen buat tanda jelas mana mes ambil ideal tempat pisah tanda garis jelas bukan konter sama buat lebih efisien langgan makan cukup enak,8,positif,0.20512820512820512,2015-08-01,1
beli kemarin bawa pulang jakarta baru makan hari asa tidak buruk baik tidak apa apa harga tidak masuk akal paling kecewa salah mes bel tidak terima kasih bel jangan lupa periksa kali,-4,negatif,-0.125,2015-07-01,2
rasa harga konyol tidak masa depan ukur batagor makin kecil belakang,-3,negatif,-0.2727272727272727,2015-04-01,2
tempat food court kecil banyak warung makan banyak orang pergi batagor turut batagor kurang enak makan kurang enak lewat tempat cari makan,-1,negatif,-0.045454545454545456,2015-01-01,2
unjung bagai tempat jual hidang favorit kota favorit kali renovasi tempat layan kurang perhati tamu penting batagor somay karet hambar betapa sedih,2,positif,0.09090909090909091,2015-01-01,1
potong batagor harga rp duga kandung ikan kurang hampir tembus cahaya lebih banyak pati ikan harga gila rasa enak lebih suka riasari seberang jalan,1,positif,0.041666666666666664,2014-12-01,1
follow me on instagram awakdoyankuliner batagor siomaynya rasa ajip lha ga perlu dipungkiri cuma sekarang rasa mahal banget turut ga worth it tambah kalau mau beli sini tidak mecin edc cash padahal jam skrg ga semua orang bawa uang cash banyak,-1,negatif,-0.024390243902439025,2020-11-01,2
kenal rekomendasi orang bandung porsi besar kenyang harga mahal kelompok besar layan baik makan tidak habis bungkus,2,positif,0.11764705882352941,2019-11-01,1
mkn banyak org luar bandung kalau org asli bandung sih gak milih makan sini layan lama banget harga mahal belum ppn tempat tidak nyaman panas rasa batagor lumayan enak campur tahu kalau tahu batagor asli enak banget porsi isi,4,positif,0.10256410256410256,2019-10-01,1
kalau serch wisata kuliner bandung makan muncul salah satu buat penasaran apa sich enak akhir keluarga luncur tkp suami anak manut andal google map nyampe wkwkwk tidak dulu iya google map kurang tahu cabang jelas tempat datang bahan primarasa jadi buat tidak banyak waktu buat hunting lumayan lach tempat buat jadi salah satu disamperin ngomong-ngomong bal kingsley tidak banyak waktu jalan makanya semua sen direkomen sini hihihi edisi kalab pesan batagor campur goreng yamie polos tahu goreng yun yi cireng mini pisang aroma coklat keju pisang bakar coklat es cendol nangka es cendol durian banyak kan wkwkwk serbu ama ramai paling suka batagor enakkk kok tidak rasa ikan iya cuman tahu aci doank jadi ingat tahu aci bumiayu hehehe es cendol enak baik nangka maupun durian manis pas tahu yun yi tidak perlu tanya rasa tahu keras kulit tetap lembut cocol pakai sambal kecap cuman entah sini saji pakai rawit doank cireng mini enak bumbu rujak kali cirengnya sendiri kurang suka ranjau waktu kunyah jadi nempel gigi yamien polos enak pesan penasaran sama meja belah kok sen mie doank makan rasa mienya enak bentuk mie kecil tektur lembut kuah enak gurih pisang suka aroma coklat keju bentuk unik gigit sangat krispy kalau bakar kecewa pisang sepet lupa pesan saji pampang meja kasir wkwkwk pisang sale goreng mungkin nama bentuk menarikkkkk banget bayang pisang tanduk sptnya goreng trus pipih nach tengah belah trus isi pakai parut keju mesesss hemmmm lumer dach mulut harga rp box isi actually makan kingsley segi harga lumayan yach total rp struk lampir iya parkir sptnya sulit letak pinggir jalan jadi lebih baik pagi jam kesana sdh lumayan parkir sejajar juru parkir kok jadi its oke lach cuman kalau aku balik kesana paling aku pesan batagor plus es cendol sama yamien wkwkwk sayang photo yamien lupa,5,positif,0.016722408026755852,2019-10-01,1
akhir coba icon bandung kenal turut rasa enak lebih enak batagor cuplis bogor harga atas rata rata,4,positif,0.23529411764705882,2019-06-01,1
coba salah satu batagor legendaris kata pesan porsi batagor siomay porsi isi potong datang cukup kaget kecil kecil cukup sih buat ngemil rasa tidak terlalu istimewa bagaimana gitu minum cendol cincau tidak terlalu enak walaupun cendol kata cendol kenal bandung buat kaget waktu bayar batagor mahal cendol sama cincau gak kalah mahal nyesal datang makan mau bagaimana,-3,negatif,-0.05263157894736842,2019-03-01,2
malam malam mampir kingsley cuma buat makan yamin baso asin pas udara dingin bandung mie nya enak luah kaldu gurih rasa pas lidah perut tani es cendol santan gula merah asli mantap,1,positif,0.03125,2018-09-01,1
batagor kingsley cukup kenal nama sejak kuah bakso cukup sedaap isi batagor kingsley porsi rp sedia yamien menu,2,positif,0.1111111111111111,2018-06-01,1
satu satu restoran batagor bandung nama kingsley kenal sedia menu makan mie bakso mie ayam bihun goreng,0,netral,0.0,2018-06-01,0
batagor emang enak porsi sedikit harga gk cantum menu tempat sama harga gk cocok,1,positif,0.07142857142857142,2017-10-01,1
kesan pertama lintas unjung tempat tidak ramah informasi beli tidak harga cantum tanya apabila tidak jebak harga mahal layan standard cenderung kurang ramah beli beli jumlah sedikit rasa makan memang beda batagor banyak cukup enak harga tawar kurang padan,-1,negatif,-0.02564102564102564,2017-10-01,2
coba bakso bihun rasa enak kuah sedap gurih campur tahu bakso sayur enak tambah sambel,3,positif,0.2,2017-08-01,1
batagor kingsley masuk batagor mahal rasa enak sangat asa ikan segar harga mahal jadi padan rasa nikmat sayang bumbu sambal kacang turut terlalu pedas bumbu sulit nikmat anak anak kecil doyan goreng hangat belanja kedai batagor baik tidak datang hari libur kalau paksa datang hari libur baik datang pagi pagi sekali tepat buka kedai seringkali hari libur sedia batagor habis lepas jam makan siang borong orang orang datang lebih dulu susah sekali cari parkir mobil kosong banyak langgan belanja warung,3,positif,0.0375,2017-08-01,1
rasa batagor lumayan enak turut tidak harga menu harap hati hati pilih pilih menu batagor pangsit mi ayam pangsit air mineral total rp harga bikin kaget sop buah rp rujak cireng matang rp ayam sambal hijau dada rp,5,positif,0.13157894736842105,2017-03-01,1
antri panjang mungkin weekend hampir jam nunggu harga mahal batagor rasa biasa rasa tepung tetap lebih dominan ga erti antri panjang batagor mahal rasa biasa,-8,negatif,-0.32,2017-02-01,2
coba menu mie yamin batagor kingsley rasa enak harga relatif mahal ukur mie yamin beli batagor kingsley harga golong mahal porsi isi buah rp ukur relatif kecil batagor depan kartika sari dago jadi alternatif makan batagor bandung,-2,negatif,-0.05405405405405406,2016-12-01,2
pesan pcs acara keluarga si layan sana bilang menit rumah padahal rumah tidak jauh tempat batagor daerah kosambi tunggu hampir jam tengah entah lama batagor rumah ongkos kirim kena ribu weh weh lebih baik pakai aplikasi online cepat harga ongkirnya ga mahal rasa batagor memang nomer bandung tingkat layan tamu bila janji nya menit ga perlu pakai lambat segala,-3,negatif,-0.05084745762711865,2016-12-01,2
batagor kingsley rasa pas enak ikan cukup asa sayang porsi cukup kecil jadi kalau mau kenyang mungkin cocok pesan piring harga cukup jangkau batagor bawa pulang,5,positif,0.19230769230769232,2016-12-01,1
betul dekat tempat inap asia afrika jalan kaki m teman titip beli buat rasa biasa lumayan mahal,-1,negatif,-0.058823529411764705,2016-10-01,2
tempat bersih parkir luas sedia macam macam khas bandung makan tempat banyak cemilan sini,3,positif,0.21428571428571427,2016-10-01,1
tahu nya enak cuma adon alot turut pribadi mahal potong ribu cukup besar sih oke icip,2,positif,0.125,2016-06-01,1
satu porsi isi batagor kalau rasa memang selera turut rasa batagor so so bahasa norak biasa trus coba tahu diolesin aci goreng biasa es cendol no special maaf iya rasa kurang oke kalau suruh bayar sendiri hahaha,-1,negatif,-0.02702702702702703,2016-04-01,2
tempat foodcourt banyak pilih menu makan paling kenal batagor memang rasa batagor cukup enak porsi tidak terlalu besar menu tulis porsi batagor isi saji nyata porsi tidak terlalu kecil cukup orang batagor cukup besar tawar cendol elizabeth rasa memang cendol lebih lembut gula pas kadar manis saji gelas plastik siap bawa pulang nikmat tempat,9,positif,0.16666666666666666,2015-12-01,1
pagi hari cukup ramai kunjung cicip batagor maupun soma banyak beli beberapa kardus bagai bingung kena lokasi taksi,0,netral,0.0,2015-11-01,0
tempat baru pindah tempat baru belah kiri jalan modern spacious banyak jajan mie kocok es oyen mie ayam siomay batagor dulu tidak terlalu mahal sekarang satu biji batagor rb an lumayan mahal tempat duduk tempat baru lumayan banyak jadi tidak perlu antri lama cari tempat duduk overall tempat sangat cocok buat makan cemilan supper sore hari,0,netral,0.0,2015-10-01,0
batagor ukur lumayan besarr enakkk sekali ga pakai amiss ga pakai bikin neg harganyaa ehm atas rata cuman harga kualitas men must try,2,positif,0.08695652173913043,2015-10-01,1
siapa tidak kenal batagor batagor legenda turut rasa tawar tidak sewah viral orang orang harga sangat tinggi,1,positif,0.058823529411764705,2015-09-01,1
batagor enak bila ukur harga kok overpriced and overvalue cukup sekali tidak coba,2,positif,0.15384615384615385,2015-08-01,1
segi rasa tidak jauh beda batagor jenis mungkin punya nama cukup kenal jadi harga ikut sesuai walaupun porsi tidak ikut sesuai buat mungkin bukan jadi pilih utama makan sini,0,netral,0.0,2015-07-01,0
rasa batagor biasa bumbu kacang nya cukup enak halus harga nya tlalu mahal rasa standar buat tidak cocok porsi batagor isi harga,0,netral,0.0,2015-07-01,0
pioner batagor bandung batagor iksan batagor riri rasa ikan lumayan asa tidak enak dulu,0,netral,0.0,2015-07-01,0
kalau bandung kalau sempat kadang mampir kesini emang rasa batagor nya enak patut puji cuman sayang pas kesini crowded suasana nya saran kalau kesini malam atas jam hindar antri lama nunggu nya,1,positif,0.03125,2015-06-01,1
kenal bandung kalau belum pernah cobain rasa so so sen batagor campur batagor siomay mie kocok roti ronde,0,netral,0.0,2015-06-01,0
kalian sedang libur bandung batagor kingsley jadi pilih wisata kuliner letak rumah sakit bungsu sejajar prima rasa tempat selalu ramai unjung utama weekend pilih menu bukan batagor baso baso tahu satu porsi batagor harga ribu harga cukup mahal turut banding batagor kenal kota bandung rasa memang enak tidak enak sekali standar kalau turut,-3,negatif,-0.05660377358490566,2015-06-01,2
batagor kingsley rupa salah satu batagor paling kenal kota bandung beberapa kali bandung selalu mampir sini beli batagor bagai kena cita rasa turut batagor kingsley enak harga mahal banding jenis batagor bandung,-1,negatif,-0.03125,2015-05-01,2
tempat kurang bersih rasa batagor sangat standar harga suprisingly expensive satu lebih dr batagor ukur lumayan besar,1,positif,0.058823529411764705,2015-05-01,1
entah benar makan saji biasa variasi sedikit memang sangat kenal biasa rasa makan harga porsi batagor cukup mahal,-1,negatif,-0.05555555555555555,2015-05-01,2
beberapa pilih makan mie ayam batagor pisang goreng batagor kingsley sayang harga restoram rasa biasa pelayananya kurang cekat tidak etika,0,netral,0.0,2015-03-01,0
batagor sangat kenal kalang wisatawan luar kota rasa cukup enak utama bumbu kacang tempat selalu ramai siap siap antri lama utama bila bungkus untu bawa pulang cara harga terlalu mahal jenis makan,-1,negatif,-0.03125,2015-03-01,2
batagor salah satu kedai batagor paling kenal bandung rasa agam batagor somay memang lumayan enak sedikit terlalu mahal jenis makan ringan,-1,negatif,-0.047619047619047616,2015-01-01,2
banyak ulas kena batagor kingsley tidak afdol kalau tidak datang tempat dar beli rasa tidak pernah ubah dulu uenak makntuss tmpat nya sekarang buat lebih nyaman coba kuliner area batagor kingsley,2,positif,0.06451612903225806,2015-01-01,1
weekend resto penuh unjung makan sini dar bungkus buat jadi sabar antri,2,positif,0.16666666666666666,2015-01-01,1
tiap kunjung batagor kingsley siap siap antri tunggu sedikit lama makan hidang tempat selalu ramai unjung tidak istimewa rasa batagor nya turut siomay nya lebih enak cara seluruh tidak wow cita rasa tunjang tempat selalu ramai,-3,negatif,-0.08333333333333333,2014-10-01,2
apabila mes batagor sini baik mes belum sangat ramai panas udara segera mungkin goreng antri selalu panjang parkir selalu sulit,-1,negatif,-0.05,2014-09-01,2
beberapa kali nikmat batagor kingsley dulu jadi lambang kota bandung selalu kunjung tiap kali bandung restonya baru renovasi tampak bagus luas area makan lantai sulit tamu punya kendala naik tangga lumayan tinggi kualitas rasa turun tidak enak dulu asa terlalu banyak tepung mungkin masalah selera untung teman beri tahu batagor merek nyata asa jauh lebih enak,2,positif,0.03571428571428571,2014-06-01,1
batagor kingsley rupa salah satu tempat kuliner kenal bandung sayang bersih tempat makan kurang jaga lantai kotor tissue sera lantai tidak bersih tugas staf bersih jaga masuk larang unjung tamu tidak rokok restoran warung iya tempat jadi lebih nyaman senang santap batagor menu masuk nasi goreng spesial oke,2,positif,0.041666666666666664,2014-03-01,1
batagor siomay kingsley cukup enak lidah orang surabaya pass tidak manis maklum bukn gemar wisata kuliner mie bakso hotel grand panghegar cukup jalan kaki timur gak jauh ingat iya tiap hari kamis batagor kingsley tutup batagor beli kamu kata jual klu kamu pesan tengah matang lalu simpan kulkas inap belum nikmat cara olah kukus kembang goreng dlm minyak dingin apung lalu pindah minyak panas goreng kuning coklat,-1,negatif,-0.014925373134328358,2013-04-01,2
tempat kenal menu siomay batagor bakso tahu goreng bakso goreng tahu goreng saji bagai makan minum lezat sayang sering kali tamu membludak akibat waktu sangat lama mes tunggu makan mungkin perlu timbang makan sini kondisi sangat lapar lapar,-1,negatif,-0.02631578947368421,2017-07-01,2
tempat ramai lebih harga pcs batagor harga idr tidak layak rasa biasa tidak spesial beli makan ringan lokal sini,-2,negatif,-0.10526315789473684,2016-12-01,2
tempat bagus layan sangat lambat layak coba milik roti takeaway lantai bawah,1,positif,0.08333333333333333,2016-08-01,1
jadi datang sini pacar makan siomay tidak temu panjang jalan astaga lihat daftar harga sangat mahal banding coba sikap positif porsi baik pesan datang mulai coba rasa standar bahkan lebih baik makan makan jalan tahu rasa makan subjektif trus es cendol dawet elisabeth super enak tho,2,positif,0.043478260869565216,2016-07-01,1
baru renovasi ruang makan lebih luas nyaman lantai atas coba batagor kuah mes lantai dasar,2,positif,0.13333333333333333,2016-07-01,1
pergi sini minggu lalu maret kejut tempat ubah sekarang milik lantai mampu tampung lebih banyak orang sayang tidak akomodasi baik kualitas layan sangat buruk bagaimana rasa makan oke,2,positif,0.07142857142857142,2016-03-01,1
semua cari sini batagor siomay noodlle bakso es durian kue pancong tahu aci tempat cocok ngemil entah lebih suka siomay batagor rasa enak yummy,2,positif,0.08333333333333333,2016-02-01,1
makan favorit panjang waktu pergi bandung sekarang rasa biasa harga makin mahal pertama kali bandung coba,-3,negatif,-0.1875,2016-01-01,2
batagor kakak perempuan panas biaya idr renovasi tempat pisah ambil makan lantai pertama makan area lantai makan ambil uang tunai lebih suka warung kingsley asli belum,1,positif,0.038461538461538464,2015-06-01,1
kata orang batagor paling kenal bandung coba teman tidak kata baik batagor sama batagor pernah coba,1,positif,0.0625,2015-05-01,1
salah satu batagor paling kenal bandung entah turut rasa tidak istimewa bagus tidak luar biasa terlalu mahal,-4,negatif,-0.23529411764705882,2015-05-01,2
batagor bagus temu batagor bagus lebih baik harga lebih murah bandung banyak jual batagor bandung e g abuy riri dagang batagor dekat universitas,5,positif,0.21739130434782608,2015-02-01,1
batagor lumayan enak buat suka sama bumbu kacang mes mie ayam tidak istimewa punya mie lebih baik tempat butuh waktu lebih menit saji makan pesan sangat padat makan siang,3,positif,0.10344827586206896,2015-02-01,1
bagai batagor legendaris tempat tidak pernah sepi unjung tempat nya strategis mudah temu sayang nya kalau hari libur sini sabar antre harga nya memang lebih mahal sepadn lah rasa,3,positif,0.10344827586206896,2018-12-01,1
siapa gak tahu batagor kingsley pas libur kmaren coba makan malam sini sekaligus pesan jadi mes batagor kuah mes batagor goreng enak pesan batagor goreng datang lebih lama sini menu saji agam bukan batagor nasi goreng pempek yamin,0,netral,0.0,2018-11-01,0
banyak teman rekomendasi batagor walaupun batagor coba emang rasa yummy baik batagor maupun bumbu so yummy cuman tidak enak pas bayar mahal ukur porsi batagor but worth to try,1,positif,0.034482758620689655,2018-07-01,1
batagor legendaris jadi menu favorit orang tua sini rasa makan cukup enak kurang masalah layan dulu gak ubah,3,positif,0.16666666666666666,2018-02-01,1
mau jajan bandung satu tempat kingsley ajaa batagor cireng yamin es campur tmpat nya cukup nyaman ga overpricee kalau ajakin teman bandung almost always visit this placee parkir emang susah luckyan banget tertawa,1,positif,0.030303030303030304,2017-12-01,1
menu wajib unjung kota bandung makan batagor kingsley batagor milik cita rasa khas tempat makan selalu penuh unjung menu makan punya banyak variasi,3,positif,0.13043478260869565,2017-12-01,1
batagor bakso tahu goreng makan khas bandung kingsley resto spesialis batagor kenal bandung biasa jadi ole ole wisatawan lokal rasa cukup enak baik bagai makan utama bagai seling cocok keluarga,3,positif,0.1,2017-12-01,1
rasa enakkkkk sekali harga mahal banding rasa batagor somay goreng beda tempat,-1,negatif,-0.08333333333333333,2017-12-01,2
selalu beli batagor kingsley bagai bila kunjung bandung rasa enak cukup banding harga lumayan tinggi lama selalu datang restoran beli batagor kingsley sekarang cukup mes go food tinggal tunggu batagor kirim hotel,3,positif,0.09375,2017-12-01,1
datang hari senin malam kondisi hujan jadi tidak terlalu ramai pesan bbrp box batagor nasi goreng take away harga makan golong mahal ukur bandung biasa makan murah batagor per pc ga perlu ragu lah iya enak nasi goreng ayam pakai telor harga rb mahal bgttt porsi nya gede memang rasa standar layan staff sana cukup,-4,negatif,-0.07272727272727272,2017-10-01,2
batagor memang enak gak rugi makan sini harga memang sedikit lebih mahal makan tempat nikmat menu,0,netral,0.0,2017-10-01,0
batagor kingsley tawar menu baik batagor kuah maupun batagor kering sedia menu siomay lokasi sendiri apabila hendak makan tempat arah lantai atas lantai bawah khusus mesan bawa pulang harga tawar kata tidak murah rasa tempat tawar jadi harga sebut wajar bayar dengancara tunai,3,positif,0.06976744186046512,2017-08-01,1
batagor siomai bakso lumpia harga lokasi rumah toko parkir susah kalau siang pas ramai,-2,negatif,-0.14285714285714285,2017-06-01,2
sekian banyak merk batagor lebih sering kingsley sini pilih nya mau batagor siomay kombinasi kalau bawa pulang biasa siap tengah mateng pilih biasa siomay nya batagor macam mavem menu salah satu nya mie ayam yamin mie nya enaak coba kalau kesini pilih mie ayam yamin manis kalau mau santap sini biasa lantai layan nya cepat cuma kalau pas jam makan siang antri banget ruang nya sempit kurang ventilasi,-1,negatif,-0.014705882352941176,2017-05-01,2
siomay coba kalau jalan jalan bandung buat tidak betah antri lama sekali layan lambat bagai alternatif coba batagor riasari seberang harga relatif sama antri tidak ular,-2,negatif,-0.07692307692307693,2017-02-01,2
akhir rasa penasaran rasa nikmat batagor kenal tebus rasa memang enak tanya sama layan menu favorit batagor campur plus minum es cincau klop harga lumayan sih banding kok rasa sedia lantai area makan iya sini jual aneka makan,4,positif,0.10526315789473684,2016-12-01,1
datang pagi hari hindar antri cukup panjang sedia beberapa tempat duduk mes bawa pulang harga cukup mahal ukur batagor cukup besar banding batagor biasa rasa enak renyah,2,positif,0.07407407407407407,2016-12-01,1
batagor kingsley rupa batagor paling enak pernah makan batagor selalu ramai penuh unjung kalau kunjung kota bandung wajib mampir kuliner batagor kingsley,1,positif,0.045454545454545456,2016-12-01,1
datang tempat selalu penuh batagor recommended hampir semua mobil plat b p but it s worth to wait,1,positif,0.05555555555555555,2016-10-01,1
pindah jalan besar tempat makan batagor khas bandung jadi lebih nyaman masakan lebih agam tempat tetap tahan kualitas weekend cukup sulit parkir dekat,3,positif,0.13043478260869565,2016-10-01,1
waktu bandung kmi mampir beli keluarga didepok mampir kesini harga lumayan mahal enak sih,1,positif,0.07142857142857142,2016-02-01,1
batagor enak meski harga kurang ramah pas kantong kerja menu es cendol elisabeth es durian legit bakso bagai tempat enak buat hang out,0,netral,0.0,2016-02-01,0
batagor kingsley batagor paling enak bandung kuah sangat lembut hangat porsi ga cukup perlu porsi rasa ikan sangat kuat cukup kenyang bagai menu utama makan siang jadi ga masuk kategori cemilan,3,positif,0.0967741935483871,2016-01-01,1
sedang jalan jalan bandunh sekali sempat coba batagor enak kota kembang engga sadar mes lebih banyak kapasitas makan bakso tahu goreng siomay goreng batagor kuah ayam kremes es cendol bungkus pulang tahu yun yin pesan akhir,2,positif,0.05555555555555555,2016-01-01,1
harga memang tidak murah sesuai rasa kenyang puas makan batagor bumbu nendang habis bumbu tidak sisa piring hahaha,2,positif,0.1111111111111111,2015-11-01,1
kalau sini jangan pas makan siang parkir susah sekarang tempat lantai lantai atas buat duduk makan bungkus banyak bawa pulang,0,netral,0.0,2015-10-01,0
harga emang ga bohong walaupun ukur batagor masuk mahal rasa emang enak banget rasa banget ikan ga amis favorit iya siomay nya batagor jual khas bandung roti bakar roti bakar sedia macam varian gitu isi kalau bandung mampir,0,netral,0.0,2015-10-01,0
batagor kingsley batagor baik bandung coba batagor kuah milik kombinasi kuah gurih batagor kering batagor isi baso tahu siomay goreng tambah kacang kecap jadi makan sangat enak,2,positif,0.07407407407407407,2015-03-01,1
batagor kingsley rupa batagor enak bandung turut rasa ikan tenggiri balut tahu yun yi lezat rupa rahasia dapur batagor mes batagor saus kacang maupun batagor kuah sini sama sama milik cita rasa tinggi harga memang golong atas banding batagor rp potong cita rasa sungguh worth the price mes batagor tengah matang bawa pulang bagai harga paling murah rp kotak isi batagor tempat sangat rekomendasi cinta kuliner,7,positif,0.10606060606060606,2015-03-01,1
tidak susah cari tempatmya letak pinggir jalan siap siap antri makan pavorit tunggu panggil harga nya memang beda batagor kelas rasa mantab wajib beli bandung,2,positif,0.08,2015-02-01,1
batagor sangat recommended coba rasa sesuai harga tawar porsi diri batagor besar,4,positif,0.3333333333333333,2019-06-01,1
batagor siomay paling enak pernah makan tiap kali bandung selalu makan sini restoran ramai banget tempat parkir tidak terlalu besar jadi parkir susah parkir belah seberang restoran harga pas tidak terlalu mahal tidak terlalu murah bumbu enak banget,-3,negatif,-0.07894736842105263,2019-02-01,2
kalau makan tempat biasa satu porsi diri tiga batagor batagor emang enak teutama bumbu yamg khas,0,netral,0.0,2019-01-01,0
pribadi batagor kingsley bandung monopoli nilai hadap batagor gurih renyah saus kacang lebih legit bahkan terkadang bagai lauk nasi sangat cocok tidak bakmi kreasi nyata enak enak bahkan hampir tanding bakmi sahabat yunsin bogor all in all gelar sang raja batagor pegang ig credits michael wen es shanghai aconk,3,positif,0.061224489795918366,2018-12-01,1
batagor salah satu makan khas kota bandung teman teman kantor orang rumah sering request makan bawa pulang,-1,negatif,-0.058823529411764705,2018-10-01,2
kalau bandung belum cicip makan sini nama belum bandung banyak menu tawar spesial batagor bikin ketagihaaannnn uenakkk,2,positif,0.11764705882352941,2018-09-01,1
batagor campur goreng menu wajib coba libur bandung salah satu batagor enak bandung bahkan indonesia recomended,0,netral,0.0,2018-07-01,0
tempat bagus menu banyak batagor uenaaaakk banget tempat mudah cari sayang kenyang kalau belum ken coba menu,4,positif,0.23529411764705882,2018-02-01,1
batagor sangat kenal bandung rasa memang enak beda batagor biasa tempat mudah temu lumayan besar harga sedikit lebih mahal batagor biasa sangat sesuai rasa,1,positif,0.041666666666666664,2017-11-01,1
rasa batagor kingsley enak banget top harga per piece cukup mahal padan rasa,1,positif,0.07692307692307693,2017-10-01,1
